Start Time	End Time	Transportation Mode
2008/08/15 07:47:00	2008/08/15 08:02:22	walk
2011/07/28 19:20:00	2011/07/28 19:40:00	taxi
2011/07/29 04:06:00	2011/07/29 04:16:00	walk
2011/07/29 04:30:00	2011/07/29 04:45:00	walk
2011/07/29 14:40:00	2011/07/29 15:00:00	walk
2011/07/29 15:00:00	2011/07/29 15:20:00	bus
2011/07/31 02:20:00	2011/07/31 02:50:00	bike
2011/08/02 03:45:00	2011/08/02 04:10:00	bike
2011/08/03 01:35:00	2011/08/03 01:55:00	bike
2011/08/04 05:39:00	2011/08/04 05:45:00	taxi
2011/08/04 05:45:00	2011/08/04 06:33:00	walk
2011/08/04 06:33:00	2011/08/04 06:43:00	bus
2011/08/04 14:58:00	2011/08/04 15:15:00	walk
2011/08/04 15:15:00	2011/08/04 15:25:00	taxi
2011/08/05 00:53:00	2011/08/05 01:05:00	bike
2011/08/08 13:27:00	2011/08/08 13:43:00	bike
2011/08/09 06:36:00	2011/08/09 06:47:00	taxi
2011/08/09 07:38:00	2011/08/09 07:42:00	train
