Category: All categories

Month,Conservative Party: (United Kingdom)
2004-01,21
2004-02,19
2004-03,17
2004-04,16
2004-05,17
2004-06,21
2004-07,12
2004-08,13
2004-09,21
2004-10,23
2004-11,18
2004-12,14
2005-01,20
2005-02,19
2005-03,24
2005-04,77
2005-05,45
2005-06,12
2005-07,10
2005-08,9
2005-09,14
2005-10,28
2005-11,16
2005-12,22
2006-01,17
2006-02,12
2006-03,13
2006-04,13
2006-05,17
2006-06,11
2006-07,8
2006-08,10
2006-09,22
2006-10,20
2006-11,13
2006-12,10
2007-01,11
2007-02,12
2007-03,13
2007-04,13
2007-05,15
2007-06,9
2007-07,12
2007-08,8
2007-09,13
2007-10,15
2007-11,10
2007-12,7
2008-01,9
2008-02,9
2008-03,9
2008-04,9
2008-05,14
2008-06,9
2008-07,8
2008-08,8
2008-09,15
2008-10,12
2008-11,10
2008-12,7
2009-01,10
2009-02,10
2009-03,9
2009-04,10
2009-05,20
2009-06,19
2009-07,9
2009-08,9
2009-09,13
2009-10,21
2009-11,11
2009-12,9
2010-01,14
2010-02,15
2010-03,18
2010-04,64
2010-05,85
2010-06,10
2010-07,6
2010-08,6
2010-09,10
2010-10,15
2010-11,8
2010-12,6
2011-01,7
2011-02,7
2011-03,7
2011-04,8
2011-05,8
2011-06,7
2011-07,5
2011-08,6
2011-09,9
2011-10,13
2011-11,7
2011-12,6
2012-01,7
2012-02,6
2012-03,8
2012-04,6
2012-05,7
2012-06,5
2012-07,5
2012-08,4
2012-09,7
2012-10,12
2012-11,29
2012-12,5
2013-01,6
2013-02,7
2013-03,6
2013-04,9
2013-05,7
2013-06,7
2013-07,5
2013-08,5
2013-09,11
2013-10,10
2013-11,7
2013-12,5
2014-01,6
2014-02,7
2014-03,8
2014-04,7
2014-05,13
2014-06,6
2014-07,7
2014-08,5
2014-09,16
2014-10,11
2014-11,8
2014-12,7
2015-01,9
2015-02,11
2015-03,16
2015-04,35
2015-05,100
2015-06,9
2015-07,9
2015-08,7
2015-09,13
2015-10,16
2015-11,9
2015-12,8
2016-01,7
2016-02,10
2016-03,9
2016-04,9
2016-05,10
2016-06,35
2016-07,37
2016-08,6
2016-09,9
2016-10,14
2016-11,8
2016-12,5
2017-01,6
2017-02,7
2017-03,8
2017-04,17
2017-05,23
