"","SYMBOL","EX","PRICE","SIZE","COND","CORR","G127"
"2008-01-04 09:30:27","XXX","N","193.71","9100","E","0","0"
"2008-01-04 09:30:28","XXX","N","193.59","200","E","0","0"
"2008-01-04 09:30:29","XXX","N","193.445","200","E","0","0"
"2008-01-04 09:30:30","XXX","N","193.38","250","E","0","0"
"2008-01-04 09:30:31","XXX","N","193.34","300","E","0","0"
"2008-01-04 09:30:33","XXX","N","193.52","400","E","0","0"
"2008-01-04 09:30:34","XXX","N","193.58","1150","E","0","0"
"2008-01-04 09:30:35","XXX","N","193.63","300","E","0","0"
"2008-01-04 09:30:36","XXX","N","193.47","1400","E","0","0"
"2008-01-04 09:30:37","XXX","N","193.26","1400","E","0","0"
"2008-01-04 09:30:38","XXX","N","193.26","200","E","0","0"
"2008-01-04 09:30:39","XXX","N","193.23","100","F","0","0"
"2008-01-04 09:30:40","XXX","N","193.15","100","E","0","0"
"2008-01-04 09:30:41","XXX","N","193.16","1150","E","0","0"
"2008-01-04 09:30:46","XXX","N","192.86","350","E","0","0"
"2008-01-04 09:30:47","XXX","N","192.85","100","E","0","0"
"2008-01-04 09:30:49","XXX","N","192.83","600","E","0","0"
"2008-01-04 09:30:50","XXX","N","193","50","E","0","0"
"2008-01-04 09:30:51","XXX","N","192.985","100","E","0","0"
"2008-01-04 09:30:54","XXX","N","193.045","250","E","0","0"
"2008-01-04 09:30:56","XXX","N","192.735","500","E","0","0"
"2008-01-04 09:30:57","XXX","N","192.85","50","E","0","0"
"2008-01-04 09:30:59","XXX","N","192.68","900","E","0","0"
"2008-01-04 09:31:01","XXX","N","192.99","350","E","0","0"
"2008-01-04 09:31:02","XXX","N","192.795","100","E","0","0"
"2008-01-04 09:31:03","XXX","N","192.69","400","F","0","0"
"2008-01-04 09:31:05","XXX","N","193.02","100","E","0","0"
"2008-01-04 09:31:07","XXX","N","193.47","100","E","0","0"
"2008-01-04 09:31:10","XXX","N","192.99","300","E","0","0"
"2008-01-04 09:31:12","XXX","N","192.89","2400","E","0","0"
"2008-01-04 09:31:13","XXX","N","192.9","150","E","0","0"
"2008-01-04 09:31:14","XXX","N","192.59","150","E","0","0"
"2008-01-04 09:31:15","XXX","N","192.43","250","E","0","0"
"2008-01-04 09:31:16","XXX","N","192.78","600","E","0","0"
"2008-01-04 09:31:17","XXX","N","192.89","350","E","0","0"
"2008-01-04 09:31:18","XXX","N","193.23","50","E","0","0"
"2008-01-04 09:31:20","XXX","N","193.11","700","E","0","0"
"2008-01-04 09:31:21","XXX","N","192.71","1150","E","0","0"
"2008-01-04 09:31:22","XXX","N","192.93","350","E","0","0"
"2008-01-04 09:31:24","XXX","N","192.99","50","E","0","0"
"2008-01-04 09:31:29","XXX","N","192.88","50","E","0","0"
"2008-01-04 09:31:31","XXX","N","193.045","950","E","0","0"
"2008-01-04 09:31:34","XXX","N","193","50","E","0","0"
"2008-01-04 09:31:35","XXX","N","193.02","150","F","0","0"
"2008-01-04 09:31:37","XXX","N","192.96","550","E","0","0"
"2008-01-04 09:31:39","XXX","N","192.71","550","E","0","0"
"2008-01-04 09:31:40","XXX","N","192.71","150","E","0","0"
